Handle,Title,Body (HTML),Vendor,Standard Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
sunshine-chanderi-lehenga,"Sunshine Chanderi Lehenga","<p>Bring radiant sunshine to festive occasions with this lightweight Chanderi cotton lehenga. Detailed with delicate tone-on-tone floral embroidery and finished with a comfortable elasticated waistband. Fully lined with 100% soft skin-safe muslin cotton for zero-itch twirling all day long.</p><ul><li>Fabric: Pure Chanderi Cotton</li><li>Lining: 100% Breathable Muslin Cotton</li><li>Set Includes: Crop Top &amp; Flared Ankle-Length Skirt</li><li>Care: Dry Clean Only</li></ul>",Meeeku,"Clothing & Accessories > Clothing > Cultural & Traditional Clothing",Indian Ethnic Lehengas,"Ethnic, Lehenga, Yellow, Chanderi Cotton, Festive, 2-3Y, 4-5Y, 6-7Y",TRUE,Size,2-3Y,,,,,,MEEK-YEL-23,350,shopify,25,deny,manual,3199.00,3899.00,TRUE,TRUE,,meeeku_prod_yellow_lehenga.jpg,1,"Sunshine Chanderi Lehenga",FALSE,"Sunshine Chanderi Lehenga - Meeeku","Shop Sunshine Chanderi Lehenga for girls 2-7Y at Meeeku.",,kg,,1800.00,active
sunshine-chanderi-lehenga,,,,,,,,Size,4-5Y,,,,,,MEEK-YEL-45,380,shopify,25,deny,manual,3199.00,3899.00,TRUE,TRUE,,,,,,,,,,,kg,,1800.00,active
sunshine-chanderi-lehenga,,,,,,,,Size,6-7Y,,,,,,MEEK-YEL-67,400,shopify,25,deny,manual,3199.00,3899.00,TRUE,TRUE,,,,,,,,,,,kg,,1800.00,active
teal-bloom-sequin-dress,"Teal Bloom Dress","<p>Crafted for magical celebrations, this teal dress features hand-embroidered gold floral sequin motifs paired with a light, layered tulle net skirt. Fully lined with 100% soft breathable cotton to ensure zero-itch comfort all day long.</p><ul><li>Fabric: Tulle Net &amp; Silk Blend with Gold Sequins</li><li>Lining: 100% Pure Soft Cotton</li><li>Includes: Dress + Matching Headband &amp; Bows</li><li>Care: Gentle Handwash / Dry Clean</li></ul>",Meeeku,"Clothing & Accessories > Clothing > Dresses",Indo-Western Dresses,"Dresses, Indo-Western, Teal, Tulle Net, Sequins, Festive, 2-3Y, 4-5Y, 6-7Y",TRUE,Size,2-3Y,,,,,,MEEK-TEAL-23,320,shopify,20,deny,manual,2999.00,3699.00,TRUE,TRUE,,meeeku_prod_teal_dress.jpg,1,"Teal Bloom Dress",FALSE,"Teal Bloom Dress - Meeeku","Shop Teal Bloom Dress for girls 2-7Y at Meeeku.",,kg,,1400.00,active
teal-bloom-sequin-dress,,,,,,,,Size,4-5Y,,,,,,MEEK-TEAL-45,350,shopify,20,deny,manual,2999.00,3699.00,TRUE,TRUE,,,,,,,,,,,kg,,1400.00,active
teal-bloom-sequin-dress,,,,,,,,Size,6-7Y,,,,,,MEEK-TEAL-67,380,shopify,20,deny,manual,2999.00,3699.00,TRUE,TRUE,,,,,,,,,,,kg,,1400.00,active
blush-rose-net-lehenga,"Blush Rose Net Lehenga","<p>A dream in pink, this ensemble pairs a high-neck jacquard top with a cloud-like tiered net lehenga skirt. Features scalloped gold lace trimming and skin-safe cotton inner lining.</p><ul><li>Fabric: Woven Jacquard Top &amp; Tiered Soft Net Skirt</li><li>Lining: 100% Breathable Cotton</li><li>Detail: Scalloped Gold Lace Border</li><li>Care: Dry Clean Only</li></ul>",Meeeku,"Clothing & Accessories > Clothing > Cultural & Traditional Clothing",Indian Ethnic Lehengas,"Ethnic, Lehenga, Pink, Jacquard, Tulle Net, Gold Lace, 2-3Y, 4-5Y, 6-7Y",TRUE,Size,2-3Y,,,,,,MEEK-PINK-23,360,shopify,18,deny,manual,3299.00,3999.00,TRUE,TRUE,,meeeku_prod_pink_net_lehenga.jpg,1,"Blush Rose Net Lehenga",FALSE,"Blush Rose Net Lehenga - Meeeku","Shop Blush Rose Net Lehenga at Meeeku.",,kg,,1900.00,active
blush-rose-net-lehenga,,,,,,,,Size,4-5Y,,,,,,MEEK-PINK-45,390,shopify,18,deny,manual,3299.00,3999.00,TRUE,TRUE,,,,,,,,,,,kg,,1900.00,active
blush-rose-net-lehenga,,,,,,,,Size,6-7Y,,,,,,MEEK-PINK-67,420,shopify,18,deny,manual,3299.00,3999.00,TRUE,TRUE,,,,,,,,,,,kg,,1900.00,active
forest-vrindavan-green-lehenga,"Forest Vrindavan Lehenga","<p>Inspired by nature, this deep emerald green lehenga is adorned with crisp white floral embroidery and dainty silver gota patti accents. Made from breathable 100% organic cotton for effortless play.</p><ul><li>Fabric: 100% Pure Organic Cotton</li><li>Embroidery: White Threadwork &amp; Silver Gota Patti</li><li>Set Includes: Strappy Top &amp; Voluminous Skirt</li><li>Care: Gentle Hand Wash</li></ul>",Meeeku,"Clothing & Accessories > Clothing > Cultural & Traditional Clothing",Indian Ethnic Lehengas,"Ethnic, Lehenga, Green, Organic Cotton, Floral Embroidery, Gota Patti, 2-3Y, 4-5Y, 6-7Y",TRUE,Size,2-3Y,,,,,,MEEK-GRN-23,340,shopify,22,deny,manual,3199.00,3899.00,TRUE,TRUE,,meeeku_prod_green_lehenga.jpg,1,"Forest Vrindavan Lehenga",FALSE,"Forest Vrindavan Lehenga - Meeeku","Shop Forest Vrindavan Lehenga at Meeeku.",,kg,,1600.00,active
forest-vrindavan-green-lehenga,,,,,,,,Size,4-5Y,,,,,,MEEK-GRN-45,370,shopify,22,deny,manual,3199.00,3899.00,TRUE,TRUE,,,,,,,,,,,kg,,1600.00,active
